car_make,car_model,car_year,car_vin
Volvo,850,1995,WBANF73537C341483
Volkswagen,Touareg,2006,WVWAP7AN6EE717452
Chrysler,Concorde,1997,JN8AZ2KR8DT604065
Mercedes-Benz,R-Class,2007,3C3CFFDR0FT412474
Toyota,Tundra,2009,2HNYD18432H418078
Chevrolet,Corvette,1969,WBADW3C52CE672879
Ford,Edge,2010,WAUDF78E18A037327
Ford,LTD Crown Victoria,1987,JM1GJ1T63F1671196
GMC,Canyon,2004,WBAKF9C54BE039888
Mercedes-Benz,SL-Class,2000,JN8AF5MR6ET486316
Dodge,Dakota,2000,5N1AT2MK0FC587631
Lincoln,Mark VII,1992,JM1DE1HY1B0311362
Volkswagen,R32,2004,WBAYG6C55FD825023
Mazda,626,1986,WDDLJ7DB9DA405343
Mercedes-Benz,SLK-Class,1997,2LMDJ6JK2BB221800
Nissan,Armada,2005,1G6AX5S36F0530067
Chevrolet,LUV,1979,WAUKFBFL3CN304206
Porsche,911,1990,3GYFNDE37ES508112
Ford,E-Series,1963,3C3CFFDR3DT378687
Toyota,Echo,2003,WBA3V7C53EJ588988
Ram,2500,2012,1G6AL5S36E0208328
Nissan,350Z,2004,1C4RDJEG1DC904922
Mitsubishi,Mirage,1986,1G6KD54Y45U762518
Chevrolet,Silverado 1500,2002,SAJWA0FS9FP370123
Lincoln,Continental Mark VII,1985,JM1GJ1T50F1545224
Dodge,Ram 2500,2004,JTJBM7FX9E5102849
Pontiac,Sunbird,1989,JN8AE2KP3D9275668
Lincoln,MKS,2013,1G6DZ67A990979039
Ford,E-Series,2008,2V4RW3DG2BR180403
Mitsubishi,Pajero,2002,SCFEBBBK6DG541563
BMW,X5,2001,1G6AS5S32F0476040
Nissan,Altima,1997,1GYEE637590897522
Nissan,350Z,2007,2G4GS5GX8E9296189
Cadillac,Escalade,1999,1FTEX1E80AF094348
Volkswagen,Eos,2012,WAUGL68E05A961348
Toyota,Celica,2005,2HNYD28457H713311
Mercedes-Benz,SLS-Class,2012,WBAVT735X7F239122
Lincoln,MKS,2010,JN1BJ0HR3FM173833
Ford,F250,1995,1G6AH5SX5E0599802
Lamborghini,Murciélago,2004,2G4GL5EX2E9428332
Audi,A4,2008,1GYS3KEF2CR868066
Mitsubishi,Challenger,1999,WAUBGBFC2CN848435
Ford,Explorer,2009,WBA4A9C57FG657871
Ford,Ranger,2007,WP0CB2A80FK723559
Plymouth,Prowler,2000,WAUKG98E56A462451
Lexus,LS,1994,WAUMFAFL3DA353708
Cadillac,Escalade ESV,2010,3D4PH5FV8AT963761
Ford,E-Series,2008,JTDKDTB36D1710672
Audi,Quattro,1994,5GADS13S072718114
Chevrolet,Tracker,1999,JN1AY1APXDM179969
Maserati,Spyder,2005,5N1AA0NCXEN338712
Dodge,Charger,1970,1G4HE57Y17U154227
Volkswagen,Eurovan,1999,19XFA1F33BE659215
Audi,riolet,1997,WAUVT58E75A460720
Lotus,Exige,2010,SCBBP9ZA8CC169094
Mitsubishi,Pajero,2005,1N6AA0CA3FN265560
Mitsubishi,Galant,1997,1FMCU4K30CK702742
Mitsubishi,Pajero,1996,WVGAV3AX8EW665117
Mazda,B-Series,2003,WVGAV3AX9EW132757
Panoz,Esperante,2006,WBAVS13517F665586
Lotus,Esprit,1986,ML32A3HJ3FH595489
Mercury,Cougar,1967,JN1BJ0HR1EM490220
Nissan,Pathfinder,1996,137ZA90301E879798
GMC,3500,1995,1G6DT57VX80191836
Dodge,Caravan,2002,KMHFG4JG1EA947084
Ford,GT,2006,WAUAFAFL8AN807085
Chevrolet,G-Series 2500,1996,WAUDFAFL3BA148760
Toyota,Sequoia,2003,WAUPEBFM4CA196316
Ford,Expedition EL,2008,SALAG2D40CA048579
Volkswagen,Rabbit,2006,19VDE1F70DE033387
Ford,E350,2011,WBADW7C59BE626052
Ferrari,F430,2009,2B3CJ5DTXAH711201
Nissan,JUKE,2011,WBAKE5C56BE658357
Chevrolet,Lumina APV,1992,5FPYK1F21AB999833
Chevrolet,Blazer,2000,2C3CK6CT3AH712603
Ford,Thunderbird,1967,JTDKTUD39DD081705
Saturn,Outlook,2010,3N1AB6AP7BL702757
Chevrolet,Express,2012,SCBBP9ZA4AC345278
Mercury,Cougar,1989,SCBCR73W39C235812
Mitsubishi,Eclipse,1989,5BZBF0AA2EN360671
Pontiac,Vibe,2009,1N6AA0CC0FN630665
Pontiac,Fiero,1987,JA32U2FU8FU026610
Toyota,Highlander,2007,1GYFK63817R669080
Toyota,Tercel,1996,JTHBK1GG1F2439232
Ford,Crown Victoria,2002,1G4HP54K224613624
Mitsubishi,Diamante,1995,WAUDL94F05N125342
Toyota,Tacoma Xtra,2000,1N4AA5AP1CC121512
GMC,Yukon XL 1500,2005,JN8AF5MR1BT875456
Pontiac,Firebird,1993,WBA3C1C51EK151830
Toyota,Tundra,2011,1N4AA5AP1DC028488
Mazda,626,1989,1GT010CGXCF309093
Mercury,Grand Marquis,1985,WBA3X9C52ED135501
BMW,3 Series,2004,JN1CV6AR4FM124467
Chrysler,Imperial,1992,2G61W5S80F9602577
Mazda,929,1989,WBAWC3C55AP411135
Mercury,Grand Marquis,2002,JM1NC2LFXE0814642
Suzuki,Esteem,2001,WBA3B5C57DF081624
Lincoln,Town Car,2009,SCFAB02AX6G071728
Mitsubishi,Cordia,1987,JTEBU5JR4D5923996
Lexus,RX,2003,WA1LFAFP1CA595259
Honda,CR-V,2007,5N1AA0NC5DN802214
Cadillac,Fleetwood,1954,19XFA1E39BE267583
Suzuki,Grand Vitara,2012,5GAKRCED2BJ398922
Jaguar,X-Type,2004,WBASP4C52BC516488
Lincoln,Navigator,1998,5TFAW5F10EX901285
Mazda,B-Series Plus,1995,WAUHE78P49A244933
Saturn,Ion,2006,1GD010CGXBF385715
BMW,3 Series,2001,2D4RN7DG4BR145370
